in:Windows,in:Roof,in:Walls,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Kitchen,out:Peak_Kitchen[W],out:LT_kitchen,out:LivingR,out:Peak_LivingR[W],out:LT_LivingR,out:Attic,out:Peak_Attic[W],out:LT_Attic,img
double_glas,l_r_insulation,h_insulation,False,True,52.619409,1.231691,55.58648,135.042193,341234.190361,0,607.729798,LT-ready,4,4276.378227,Almost LT-ready,3,7019.800941,Almost LT-ready,Windowsdouble_glas_Roofl_r_insulation_Wallsh_insulation.png
acht_w_foil,l_r_insulation,h_insulation,True,True,47.350634,1.250752,55.605541,129.79248,321156.332088,0,506.913733,LT-ready,3,4023.156766,Almost LT-ready,3,6687.356638,Almost LT-ready,Windowsacht_w_foil_Roofl_r_insulation_Wallsh_insulation.png
HR++,l_r_insulation,h_insulation,True,True,43.376475,1.25952,55.614309,125.827089,306008.04001,0,428.237667,LT-ready,3,3846.233395,Almost LT-ready,3,6432.243316,Almost LT-ready,WindowsHR++_Roofl_r_insulation_Wallsh_insulation.png
triple_glas,l_r_insulation,h_insulation,True,True,40.970587,1.27341,55.628199,123.43509,296843.425866,0,379.63453,LT-ready,3,3742.134406,Almost LT-ready,3,6276.295116,Almost LT-ready,Windowstriple_glas_Roofl_r_insulation_Wallsh_insulation.png
double_glas,m_r_insulation,h_insulation,True,True,46.047189,1.160458,55.515247,128.398741,316123.876461,0,555.470602,LT-ready,3,3814.586766,Almost LT-ready,3,5855.394986,Almost LT-ready,Windowsdouble_glas_Roofm_r_insulation_Wallsh_insulation.png
acht_w_foil,m_r_insulation,h_insulation,True,True,40.718176,1.179689,55.534478,123.088959,295816.43298,0,453.140888,LT-ready,2,3554.967454,Almost LT-ready,1,5507.853505,Almost LT-ready,Windowsacht_w_foil_Roofm_r_insulation_Wallsh_insulation.png
HR++,m_r_insulation,h_insulation,True,True,36.702974,1.186142,55.54093,119.08021,280510.042187,0,373.414512,LT-ready,2,3365.463554,Almost LT-ready,1,5240.45866,Almost LT-ready,WindowsHR++_Roofm_r_insulation_Wallsh_insulation.png
triple_glas,m_r_insulation,h_insulation,True,True,34.267956,1.203601,55.55839,116.662651,271236.808646,0,324.219167,LT-ready,0,3258.105292,LT-ready,1,5076.535494,Almost LT-ready,Windowstriple_glas_Roofm_r_insulation_Wallsh_insulation.png
double_glas,h_r_insulation,h_insulation,True,True,43.042275,1.126545,55.481334,125.359914,304642.153221,0,529.200707,LT-ready,2,3604.509383,Almost LT-ready,1,5322.002501,Almost LT-ready,Windowsdouble_glas_Roofh_r_insulation_Wallsh_insulation.png
acht_w_foil,h_r_insulation,h_insulation,True,True,37.66009,1.149466,55.504255,120.00065,284134.493976,0,425.989821,LT-ready,0,3341.702521,LT-ready,1,4967.07382,Almost LT-ready,Windowsacht_w_foil_Roofh_r_insulation_Wallsh_insulation.png
HR++,h_r_insulation,h_insulation,True,True,33.674281,1.159775,55.514564,116.02515,268942.838438,0,345.625606,LT-ready,0,3146.736632,LT-ready,0,4693.559551,LT-ready,WindowsHR++_Roofh_r_insulation_Wallsh_insulation.png
triple_glas,h_r_insulation,h_insulation,True,True,31.250697,1.167399,55.522188,113.60919,259706.433001,0,296.102966,LT-ready,0,3037.555038,LT-ready,0,4525.518348,LT-ready,Windowstriple_glas_Roofh_r_insulation_Wallsh_insulation.png
