BAG_pand_i	BAG_pand_b	Q_c_kWh 	Elec_kWh	Pec_4_cooling	COP	Q_v_kWh	Delta_T	H	Volume_m3	ACH_hr	Q_all_kWh	Q_all_GJ	BAG_pand_o	Meest_voor	Hoofdfun_1	Gebruiksop	LNG	LAT
3.631E+14	1750	10975.63966	14634.18621	0.15	4	29657.26111	9.698778498	3.048923679	140.2504892	8	40632.90077	146.2784428	46	F	H	46	4.884827	52.363531
3.631E+14	1935	16636.70495	19572.59406	0.17	4	57643.99146	10.6987785	3.050880626	658.9902153	3	74280.69641	267.4105071	216	C	K	38	4.884823	52.363891
3.631E+14	1992	15897.04032	26495.06721	0.12	4	36241.94772	8.698778498	3.3525	509.58	3	52138.98804	187.700357	152	A	D	30	4.879451	52.371445
3.631E+14	1723	15897.04032	26495.06721	0.12	4	36241.94772	8.698778498	3.3525	509.58	3	52138.98804	187.700357	152	A	D	42	4.885477	52.372261
3.631E+14	1005	15897.04032	26495.06721	0.12	4	36241.94772	8.698778498	3.3525	509.58	3	52138.98804	187.700357	152	A	D	53	4.930165	52.370384
3.631E+14	1675	16106.21191	26843.68651	0.12	4	36718.81545	8.698778498	3.3525	516.285	3	52825.02736	190.1700985	154	A	D	74	4.898441	52.363103
3.631E+14	1789	15164.41034	20219.21379	0.15	4	75432.59892	9.698778498	3.048923679	356.7240705	8	90597.00927	326.1492334	117	A	H	44	4.889003	52.369436
3.631E+14	1712	16629.14087	27715.23478	0.12	4	37910.98479	8.698778498	3.3525	533.0475	3	54540.12565	196.3444523	159	A+	D	91	4.897254	52.368203
3.631E+14	1750	16838.31245	28063.85408	0.12	4	38387.85252	8.698778498	3.3525	539.7525	3	55226.16497	198.8141939	161	A	D	76	4.892053	52.380324
3.631E+14	1885	8934.526733	10511.20792	0.17	4	38696.19797	10.6987785	3.050880626	442.3776908	3	47630.72471	171.4706089	145	A	K	0	4.886286	52.378628
3.631E+14	1770	15164.41034	20219.21379	0.15	4	75432.59892	9.698778498	3.048923679	356.7240705	8	90597.00927	326.1492334	117	A	H	36	4.898485	52.375102
3.631E+14	1905	14826.69307	17443.16832	0.17	4	41098.03095	10.6987785	3.050880626	469.8356164	3	55924.72402	201.3290065	154	E	K	28	4.885888	52.381358
3.631E+14	1933	22991.00198	27048.23762	0.17	4	53107.19584	10.6987785	3.050880626	607.1252446	3	76098.19782	273.9535121	199	G	K	67	4.90404	52.372015
3.631E+14	1827	3922.105263	5229.473684	0.15	4	20002.64167	11.6987785	2.9875	313.6875	2	23924.74693	86.12908895	105	B	L	35	4.910153	52.36618
3.631E+14	1759	16838.31245	28063.85408	0.12	4	38387.85252	8.698778498	3.3525	539.7525	3	55226.16497	198.8141939	161	A	D	86	4.88877	52.377137
3.631E+14	1883	17426.7	23235.6	0.15	4	65761.75291	9.698778498	3.048923679	310.9902153	8	83188.45291	299.4784305	102	C	H	102	4.897793	52.375261
3.631E+14	1712	22210.5	29614	0.15	4	83813.9988	9.698778498	3.048923679	396.3600783	8	106024.4988	381.6881957	130	C	H	52	4.900811	52.374608
3.631E+14	1777	23064.75	30753	0.15	4	87037.61414	9.698778498	3.048923679	411.6046967	8	110102.3641	396.3685109	135	C	H	28	4.893577	52.37536
3.631E+14	1876	16636.70495	19572.59406	0.17	4	57643.99146	10.6987785	3.050880626	658.9902153	3	74280.69641	267.4105071	216	C	K	160	4.896722	52.359195
3.631E+14	1905	17047.48403	28412.47339	0.12	4	38864.72025	8.698778498	3.3525	546.4575	3	55912.20428	201.2839354	163	A	D	43	4.8824	52.378072
3.631E+14	1715	23235.6	30980.8	0.15	4	87682.33721	9.698778498	3.048923679	414.6536204	8	110917.9372	399.304574	136	C	H	52	4.899956	52.373571
