in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
acht_w_foil,non_insulated_w,h_r_insulation,No gap_s + vA,False,False,186.167073,4.469285,48.976068,272.079523,64498.066797,1365.004733,LT-ready,3085.306567,Almost LT-ready,46.130137,False,6.518265,False,Windowsacht_w_foil_Wallsnon_insulated_w_Roofh_r_insulation_InfiltrationNogap_s+vA.png
HR++,non_insulated_w,h_r_insulation,No gap_s + vA,False,False,173.677048,4.498416,49.0052,259.61863,61026.32259,1288.045013,LT-ready,2948.88505,Almost LT-ready,43.721461,False,6.757991,False,WindowsHR++_Wallsnon_insulated_w_Roofh_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,non_insulated_w,h_r_insulation,No gap_s + vA,False,False,165.242413,4.553831,49.060614,251.239409,58683.613681,1239.634632,LT-ready,2864.716255,Almost LT-ready,42.146119,False,6.952055,False,Windowstriple_glas_Wallsnon_insulated_w_Roofh_r_insulation_InfiltrationNogap_s+vA.png
double_glas,cavity_w_insulation,h_r_insulation,No gap_s + vA,False,False,155.411074,3.689109,48.195893,240.543349,55906.335503,1041.170967,LT-ready,2975.483287,Almost LT-ready,12.237443,False,5.468037,False,Windowsdouble_glas_Wallscavity_w_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,cavity_w_insulation,h_r_insulation,No gap_s + vA,False,False,137.754652,3.77939,48.286174,222.977208,51000.996585,936.876097,LT-ready,2792.5923,Almost LT-ready,8.36758,False,6.232877,False,Windowsacht_w_foil_Wallscavity_w_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
HR++,cavity_w_insulation,h_r_insulation,No gap_s + vA,False,False,124.383092,3.807466,48.31425,209.633724,47284.063541,852.900351,LT-ready,2650.227386,Almost LT-ready,5.639269,False,7.089041,False,WindowsHR++_Wallscavity_w_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,cavity_w_insulation,h_r_insulation,No gap_s + vA,False,False,115.749859,3.870711,48.377494,201.063735,44886.521758,799.930165,LT-ready,2561.995719,Almost LT-ready,4.23516,False,7.899543,False,Windowstriple_glas_Wallscavity_w_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
double_glas,l_insulation,h_r_insulation,No gap_s + vA,False,False,152.539264,3.653318,48.160102,237.635748,55105.951037,1015.686572,LT-ready,2958.256855,Almost LT-ready,9.965753,False,5.479452,False,Windowsdouble_glas_Wallsl_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,l_insulation,h_r_insulation,No gap_s + vA,False,False,134.749046,3.746472,48.253256,219.938684,50163.550521,910.829939,LT-ready,2774.860337,Almost LT-ready,6.164384,False,6.40411,False,Windowsacht_w_foil_Wallsl_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
HR++,l_insulation,h_r_insulation,No gap_s + vA,False,False,121.323111,3.774194,48.280977,206.54047,46431.479148,826.385583,LT-ready,2632.030972,Almost LT-ready,4.13242,False,7.237443,False,WindowsHR++_Wallsl_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
